,Unnamed: 0,hypothesis,context,img_id,hypothesis_avg_overall_blv_rating,reference_count,references,hypothesis_avg_overall_sighted_rating,hypothesis_length,avg_reference_length,max_reference_length,min_reference_length,Bleu_1,Bleu_2,Bleu_3,Bleu_4,METEOR,ROUGE_L,Spice
14,15,Five soccer players celebrate a goal in a soccer match--the field is surrounded by advertising.,Advertising,soccer_in_progress13,3.5,3,"At a soccer match, advertisements for companies are placed on the boards alongside the field.|Five soccer players in blue jerseys are celebrating a good play.|Football players celebrating a win.",3.375,95,64.0,93,35,0.39999999994666674,0.2927700218448269,0.1875152612471204,2.722589422685125e-05,0.24664902291153779,0.39559014267185466,
15,16,Five soccer players celebrate a goal in a soccer match--the field is surrounded by advertising.,Advertising,soccer_in_progress13,3.5,3,This is a picture of a soccer stadium. A team is cheering next to a bunch of ad banners.|Five soccer players in blue jerseys are celebrating a good play.|Football players celebrating a win.,3.375,95,62.3333333333333,88,35,0.4666666666355556,0.31622776599500324,0.19740230336070885,2.829559628115301e-05,0.24664902291153779,0.39559014267185466,
16,17,Five soccer players celebrate a goal in a soccer match--the field is surrounded by advertising.,Advertising,soccer_in_progress13,3.5,4,"At a soccer match, advertisements for companies are placed on the boards alongside the field.|This is a picture of a soccer stadium. A team is cheering next to a bunch of ad banners.|Five soccer players in blue jerseys are celebrating a good play.|Football players celebrating a win.",3.375,95,70.0,93,35,0.5333333332622223,0.33806170184552686,0.2063872502318205,2.9256127303182507e-05,0.24664902291153779,0.39559014267185466,
17,18,This is a picture of a soccer stadium. A team is cheering next to a bunch of ad banners.,Advertising,soccer_in_progress13,3.0,1,"At a soccer match, advertisements for companies are placed on the boards alongside the field.",3.33333333333333,88,93.0,93,93,0.10526315788919673,0.07647191128605067,7.006777435693386e-07,2.1533208539579166e-09,0.11986853720632536,0.12019704433497538,
18,19,This is a picture of a soccer stadium. A team is cheering next to a bunch of ad banners.,Advertising,soccer_in_progress13,3.0,1,Five soccer players celebrate a goal in a soccer match--the field is surrounded by advertising.,3.33333333333333,88,95.0,95,95,0.2105263157783934,0.108147614081325,8.827986383158516e-07,2.5607444804104893e-09,0.1255768743120029,0.24039408866995077,
19,20,This is a picture of a soccer stadium. A team is cheering next to a bunch of ad banners.,Advertising,soccer_in_progress13,3.0,1,Five soccer players in blue jerseys are celebrating a good play.,3.33333333333333,88,64.0,64,64,0.10526315788919673,2.4182541669025607e-09,7.006777435693387e-12,3.829206137800792e-13,0.10484628696221511,0.14006888633754305,
20,21,This is a picture of a soccer stadium. A team is cheering next to a bunch of ad banners.,Advertising,soccer_in_progress13,3.0,1,Football players celebrating a win.,3.33333333333333,88,35.0,35,35,0.0526315789445984,1.7099639200494266e-09,5.561282936163364e-12,3.219965714544208e-13,0.08563380281690142,0.09312977099236641,
21,22,This is a picture of a soccer stadium. A team is cheering next to a bunch of ad banners.,Advertising,soccer_in_progress13,3.0,2,"At a soccer match, advertisements for companies are placed on the boards alongside the field.|Five soccer players celebrate a goal in a soccer match--the field is surrounded by advertising.",3.33333333333333,88,94.0,95,93,0.2105263157783934,0.108147614081325,8.827986383158516e-07,2.5607444804104893e-09,0.1255768743120029,0.24039408866995077,
22,23,This is a picture of a soccer stadium. A team is cheering next to a bunch of ad banners.,Advertising,soccer_in_progress13,3.0,2,"At a soccer match, advertisements for companies are placed on the boards alongside the field.|Five soccer players in blue jerseys are celebrating a good play.",3.33333333333333,88,78.5,93,64,0.10526315788919673,0.07647191128605067,7.006777435693386e-07,2.1533208539579166e-09,0.11219300408758959,0.14006888633754305,
23,24,This is a picture of a soccer stadium. A team is cheering next to a bunch of ad banners.,Advertising,soccer_in_progress13,3.0,2,"At a soccer match, advertisements for companies are placed on the boards alongside the field.|Football players celebrating a win.",3.33333333333333,88,64.0,93,35,0.10526315788919673,0.07647191128605067,7.006777435693386e-07,2.1533208539579166e-09,0.11219300408758959,0.14610778443113773,
24,25,This is a picture of a soccer stadium. A team is cheering next to a bunch of ad banners.,Advertising,soccer_in_progress13,3.0,2,Five soccer players celebrate a goal in a soccer match--the field is surrounded by advertising.|Five soccer players in blue jerseys are celebrating a good play.,3.33333333333333,88,79.5,95,64,0.2105263157783934,0.108147614081325,8.827986383158516e-07,2.5607444804104893e-09,0.1179462791633449,0.24039408866995077,
25,26,This is a picture of a soccer stadium. A team is cheering next to a bunch of ad banners.,Advertising,soccer_in_progress13,3.0,2,Five soccer players celebrate a goal in a soccer match--the field is surrounded by advertising.|Football players celebrating a win.,3.33333333333333,88,65.0,95,35,0.2105263157783934,0.108147614081325,8.827986383158516e-07,2.5607444804104893e-09,0.1179462791633449,0.24039408866995077,
26,27,This is a picture of a soccer stadium. A team is cheering next to a bunch of ad banners.,Advertising,soccer_in_progress13,3.0,2,Five soccer players in blue jerseys are celebrating a good play.|Football players celebrating a win.,3.33333333333333,88,49.5,64,35,0.10526315788919673,2.4182541669025607e-09,7.006777435693387e-12,3.829206137800792e-13,0.09542261843883237,0.14610778443113773,
27,28,This is a picture of a soccer stadium. A team is cheering next to a bunch of ad banners.,Advertising,soccer_in_progress13,3.0,3,"At a soccer match, advertisements for companies are placed on the boards alongside the field.|Five soccer players celebrate a goal in a soccer match--the field is surrounded by advertising.|Five soccer players in blue jerseys are celebrating a good play.",3.33333333333333,88,84.0,95,64,0.2105263157783934,0.108147614081325,8.827986383158516e-07,2.5607444804104893e-09,0.1179462791633449,0.24039408866995077,
28,29,This is a picture of a soccer stadium. A team is cheering next to a bunch of ad banners.,Advertising,soccer_in_progress13,3.0,3,"At a soccer match, advertisements for companies are placed on the boards alongside the field.|Five soccer players celebrate a goal in a soccer match--the field is surrounded by advertising.|Football players celebrating a win.",3.33333333333333,88,74.3333333333333,95,35,0.2105263157783934,0.108147614081325,8.827986383158516e-07,2.5607444804104893e-09,0.1179462791633449,0.24039408866995077,
29,30,This is a picture of a soccer stadium. A team is cheering next to a bunch of ad banners.,Advertising,soccer_in_progress13,3.0,3,"At a soccer match, advertisements for companies are placed on the boards alongside the field.|Five soccer players in blue jerseys are celebrating a good play.|Football players celebrating a win.",3.33333333333333,88,64.0,93,35,0.10526315788919673,0.07647191128605067,7.006777435693386e-07,2.1533208539579166e-09,0.11219300408758959,0.14610778443113773,
30,31,This is a picture of a soccer stadium. A team is cheering next to a bunch of ad banners.,Advertising,soccer_in_progress13,3.0,3,Five soccer players celebrate a goal in a soccer match--the field is surrounded by advertising.|Five soccer players in blue jerseys are celebrating a good play.|Football players celebrating a win.,3.33333333333333,88,64.6666666666667,95,35,0.2105263157783934,0.108147614081325,8.827986383158516e-07,2.5607444804104893e-09,0.1179462791633449,0.24039408866995077,
31,32,This is a picture of a soccer stadium. A team is cheering next to a bunch of ad banners.,Advertising,soccer_in_progress13,3.0,4,"At a soccer match, advertisements for companies are placed on the boards alongside the field.|Five soccer players celebrate a goal in a soccer match--the field is surrounded by advertising.|Five soccer players in blue jerseys are celebrating a good play.|Football players celebrating a win.",3.33333333333333,88,71.75,95,35,0.2105263157783934,0.108147614081325,8.827986383158516e-07,2.5607444804104893e-09,0.1179462791633449,0.24039408866995077,
32,33,"\nA table is set with a meal on it.  Included on the table are salads, potatoes, peas, pickles, and olives.",American cuisine,laid_table12,3.75,1,It's a bunch of food from America. It's set up on a table.,3.4,107,58.0,58,58,0.14999999999250005,2.8097574346008976e-09,7.597809220569459e-12,4.0077816998107627e-13,0.1437908496732026,0.1228600201409869,
33,34,"\nA table is set with a meal on it.  Included on the table are salads, potatoes, peas, pickles, and olives.",American cuisine,laid_table12,3.75,1,"A table filled with bowls,plates and glasses. Many different types of food are represented from salads to a pie.",3.4,107,112.0,112,112,0.24999999998750005,3.627381250363917e-09,9.008198915145456e-12,4.553719183899022e-13,0.10924369747899161,0.15136476426799006,
34,35,"\nA table is set with a meal on it.  Included on the table are salads, potatoes, peas, pickles, and olives.",American cuisine,laid_table12,3.75,1,The camera looks down on a table groaning with colorful foods arranged in many serving bowls on a bright red plaid tablecloth.,3.4,107,126.0,126,126,0.22620935448636897,3.2821902846472275e-09,8.150955447126998e-12,4.120375508613989e-13,0.09875619564200881,0.13895216400911162,
35,36,"\nA table is set with a meal on it.  Included on the table are salads, potatoes, peas, pickles, and olives.",American cuisine,laid_table12,3.75,1,"A table and chairs, set with six places, and laid with a green and red plaid tablecoth. There are red solo cups at each place. The table is also set with typical American Thanksgiving foods, including: turkey, mashed potatoes, cranberry sauce, mixed salad, squash, sweet potatoes, devilled eggs, and pumpkin pie.",3.4,107,312.0,312,312,0.09551158821248325,0.05657618209057856,3.3543839687128344e-07,8.285299999773619e-10,0.0920671925484203,0.180855569673867,
36,37,"\nA table is set with a meal on it.  Included on the table are salads, potatoes, peas, pickles, and olives.",American cuisine,laid_table12,3.75,1,"A rectangular table with a red plaid table cloth on it and wooden chairs around it.  The table is set with 5 place setting, each with a plate and red solo cup.  Each setting has a bowl of salad in front of it.  There are various food items in the middle of the table in serving dishes.  The food items look like they could be from a Thanksgiving dinner.",3.4,107,353.0,353,353,0.04746147256990763,0.03282978705294487,0.02178164691557852,0.01513388518461102,0.06377552103996825,0.1741198858230257,
37,38,"\nA table is set with a meal on it.  Included on the table are salads, potatoes, peas, pickles, and olives.",American cuisine,laid_table12,3.75,1,"A table with a tablecloth with empty place setting and many foods in bowls in the middle.  The table is set with paper napkins, metal utensils, and plastic cups.  The bowls of food are some typical foods of American cuisine.",3.4,107,224.0,224,224,0.16554574851059448,0.11323090283425306,0.08062399541042403,0.05803131159502332,0.0962678480867748,0.17967599410898377,
38,39,"\nA table is set with a meal on it.  Included on the table are salads, potatoes, peas, pickles, and olives.",American cuisine,laid_table12,3.75,1,A table is set with dishes and silverware for five.  The food is on the table as well and ready to be served when the people arrive.,3.4,107,132.0,132,132,0.28187523585929786,0.22863100671302006,0.18310715408638306,0.12630367494757072,0.14567430813772259,0.35812133072407043,
39,40,"\nA table is set with a meal on it.  Included on the table are salads, potatoes, peas, pickles, and olives.",American cuisine,laid_table12,3.75,2,"It's a bunch of food from America. It's set up on a table.|A table filled with bowls,plates and glasses. Many different types of food are represented from salads to a pie.",3.4,107,85.0,112,58,0.34999999998250003,4.291975376174515e-09,1.0077372514442856e-11,4.953341311472897e-13,0.13445378151260504,0.18429003021148035,
40,41,"\nA table is set with a meal on it.  Included on the table are salads, potatoes, peas, pickles, and olives.",American cuisine,laid_table12,3.75,2,It's a bunch of food from America. It's set up on a table.|The camera looks down on a table groaning with colorful foods arranged in many serving bowls on a bright red plaid tablecloth.,3.4,107,92.0,126,58,0.27145122538364275,3.595459313851177e-09,8.661682652915186e-12,4.31252979480602e-13,0.13445378151260504,0.18429003021148035,
41,42,"\nA table is set with a meal on it.  Included on the table are salads, potatoes, peas, pickles, and olives.",American cuisine,laid_table12,3.75,2,"It's a bunch of food from America. It's set up on a table.|A table and chairs, set with six places, and laid with a green and red plaid tablecoth. There are red solo cups at each place. The table is also set with typical American Thanksgiving foods, including: turkey, mashed potatoes, cranberry sauce, mixed salad, squash, sweet potatoes, devilled eggs, and pumpkin pie.",3.4,107,185.0,312,58,0.4999999999750001,0.28097574346008974,1.636898375303894e-06,4.007781699810763e-09,0.13445378151260504,0.26406926406926406,
42,43,"\nA table is set with a meal on it.  Included on the table are salads, potatoes, peas, pickles, and olives.",American cuisine,laid_table12,3.75,2,"It's a bunch of food from America. It's set up on a table.|A rectangular table with a red plaid table cloth on it and wooden chairs around it.  The table is set with 5 place setting, each with a plate and red solo cup.  Each setting has a bowl of salad in front of it.  There are various food items in the middle of the table in serving dishes.  The food items look like they could be from a Thanksgiving dinner.",3.4,107,205.5,353,58,0.5499999999725,0.38044295510681836,0.2524132765860473,0.17537670873695943,0.13445378151260504,0.2846034214618974,
43,44,"\nA table is set with a meal on it.  Included on the table are salads, potatoes, peas, pickles, and olives.",American cuisine,laid_table12,3.75,2,"It's a bunch of food from America. It's set up on a table.|A table with a tablecloth with empty place setting and many foods in bowls in the middle.  The table is set with paper napkins, metal utensils, and plastic cups.  The bowls of food are some typical foods of American cuisine.",3.4,107,141.0,224,58,0.4999999999750001,0.32444284224487613,0.22699238869663813,0.16195570127653763,0.13445378151260504,0.2505133470225873,
44,45,"\nA table is set with a meal on it.  Included on the table are salads, potatoes, peas, pickles, and olives.",American cuisine,laid_table12,3.75,2,It's a bunch of food from America. It's set up on a table.|A table is set with dishes and silverware for five.  The food is on the table as well and ready to be served when the people arrive.,3.4,107,95.0,132,58,0.44999999997750006,0.3441236007881837,0.2702459674543633,0.1845895819869637,0.14567430813772259,0.35812133072407043,
45,46,"\nA table is set with a meal on it.  Included on the table are salads, potatoes, peas, pickles, and olives.",American cuisine,laid_table12,3.75,2,"A table filled with bowls,plates and glasses. Many different types of food are represented from salads to a pie.|The camera looks down on a table groaning with colorful foods arranged in many serving bowls on a bright red plaid tablecloth.",3.4,107,119.0,126,112,0.34999999998250003,4.291975376174515e-09,1.0077372514442856e-11,4.953341311472897e-13,0.10267379679144384,0.15136476426799006,
46,47,"\nA table is set with a meal on it.  Included on the table are salads, potatoes, peas, pickles, and olives.",American cuisine,laid_table12,3.75,2,"A table filled with bowls,plates and glasses. Many different types of food are represented from salads to a pie.|A table and chairs, set with six places, and laid with a green and red plaid tablecoth. There are red solo cups at each place. The table is also set with typical American Thanksgiving foods, including: turkey, mashed potatoes, cranberry sauce, mixed salad, squash, sweet potatoes, devilled eggs, and pumpkin pie.",3.4,107,212.0,312,112,0.44999999997750006,0.266556994977913,1.5804080050341116e-06,3.903594390470427e-09,0.10267379679144384,0.2013201320132013,
47,48,"\nA table is set with a meal on it.  Included on the table are salads, potatoes, peas, pickles, and olives.",American cuisine,laid_table12,3.75,2,"A table filled with bowls,plates and glasses. Many different types of food are represented from salads to a pie.|A rectangular table with a red plaid table cloth on it and wooden chairs around it.  The table is set with 5 place setting, each with a plate and red solo cup.  Each setting has a bowl of salad in front of it.  There are various food items in the middle of the table in serving dishes.  The food items look like they could be from a Thanksgiving dinner.",3.4,107,232.5,353,112,0.5499999999725,0.38044295510681836,0.2524132765860473,0.17537670873695943,0.10267379679144384,0.21303841676367868,
48,49,"\nA table is set with a meal on it.  Included on the table are salads, potatoes, peas, pickles, and olives.",American cuisine,laid_table12,3.75,2,"A table filled with bowls,plates and glasses. Many different types of food are represented from salads to a pie.|A table with a tablecloth with empty place setting and many foods in bowls in the middle.  The table is set with paper napkins, metal utensils, and plastic cups.  The bowls of food are some typical foods of American cuisine.",3.4,107,168.0,224,112,0.44999999997750006,0.3077935056097516,0.21915874167287905,0.15774545979828386,0.10267379679144384,0.19334389857369258,
49,50,"\nA table is set with a meal on it.  Included on the table are salads, potatoes, peas, pickles, and olives.",American cuisine,laid_table12,3.75,2,"A table filled with bowls,plates and glasses. Many different types of food are represented from salads to a pie.|A table is set with dishes and silverware for five.  The food is on the table as well and ready to be served when the people arrive.",3.4,107,122.0,132,112,0.4999999999750001,0.3627381250363917,0.2799056848923821,0.18951629566562572,0.14567430813772259,0.35812133072407043,
50,51,"\nA table is set with a meal on it.  Included on the table are salads, potatoes, peas, pickles, and olives.",American cuisine,laid_table12,3.75,2,"The camera looks down on a table groaning with colorful foods arranged in many serving bowls on a bright red plaid tablecloth.|A table and chairs, set with six places, and laid with a green and red plaid tablecoth. There are red solo cups at each place. The table is also set with typical American Thanksgiving foods, including: turkey, mashed potatoes, cranberry sauce, mixed salad, squash, sweet potatoes, devilled eggs, and pumpkin pie.",3.4,107,219.0,312,126,0.49766057987001167,0.2666463992379711,1.5289378467420872e-06,3.7138365064652956e-09,0.09262678377305748,0.180855569673867,
51,52,"\nA table is set with a meal on it.  Included on the table are salads, potatoes, peas, pickles, and olives.",American cuisine,laid_table12,3.75,2,"The camera looks down on a table groaning with colorful foods arranged in many serving bowls on a bright red plaid tablecloth.|A rectangular table with a red plaid table cloth on it and wooden chairs around it.  The table is set with 5 place setting, each with a plate and red solo cup.  Each setting has a bowl of salad in front of it.  There are various food items in the middle of the table in serving dishes.  The food items look like they could be from a Thanksgiving dinner.",3.4,107,239.5,353,126,0.5429024507672855,0.3595459313851177,0.23511423982427457,0.16217712885374755,0.09262678377305748,0.1892450879007239,
52,53,"\nA table is set with a meal on it.  Included on the table are salads, potatoes, peas, pickles, and olives.",American cuisine,laid_table12,3.75,2,"The camera looks down on a table groaning with colorful foods arranged in many serving bowls on a bright red plaid tablecloth.|A table with a tablecloth with empty place setting and many foods in bowls in the middle.  The table is set with paper napkins, metal utensils, and plastic cups.  The bowls of food are some typical foods of American cuisine.",3.4,107,175.0,224,126,0.49766057987001167,0.30789674075697404,0.21202125876400166,0.15007728486294397,0.0962678480867748,0.17967599410898377,
53,54,"\nA table is set with a meal on it.  Included on the table are salads, potatoes, peas, pickles, and olives.",American cuisine,laid_table12,3.75,2,The camera looks down on a table groaning with colorful foods arranged in many serving bowls on a bright red plaid tablecloth.|A table is set with dishes and silverware for five.  The food is on the table as well and ready to be served when the people arrive.,3.4,107,129.0,132,126,0.45241870897273795,0.32821902846472273,0.25326913719894645,0.1714814356372502,0.14567430813772259,0.35812133072407043,
54,55,"\nA table is set with a meal on it.  Included on the table are salads, potatoes, peas, pickles, and olives.",American cuisine,laid_table12,3.75,2,"A table and chairs, set with six places, and laid with a green and red plaid tablecoth. There are red solo cups at each place. The table is also set with typical American Thanksgiving foods, including: turkey, mashed potatoes, cranberry sauce, mixed salad, squash, sweet potatoes, devilled eggs, and pumpkin pie.|A rectangular table with a red plaid table cloth on it and wooden chairs around it.  The table is set with 5 place setting, each with a plate and red solo cup.  Each setting has a bowl of salad in front of it.  There are various food items in the middle of the table in serving dishes.  The food items look like they could be from a Thanksgiving dinner.",3.4,107,332.5,353,312,0.127348784283311,0.0843387927079599,0.05515081497053433,0.03804193583744852,0.09270213870392666,0.19025694341304022,
55,56,"\nA table is set with a meal on it.  Included on the table are salads, potatoes, peas, pickles, and olives.",American cuisine,laid_table12,3.75,2,"A table and chairs, set with six places, and laid with a green and red plaid tablecoth. There are red solo cups at each place. The table is also set with typical American Thanksgiving foods, including: turkey, mashed potatoes, cranberry sauce, mixed salad, squash, sweet potatoes, devilled eggs, and pumpkin pie.|A table with a tablecloth with empty place setting and many foods in bowls in the middle.  The table is set with paper napkins, metal utensils, and plastic cups.  The bowls of food are some typical foods of American cuisine.",3.4,107,268.0,312,224,0.18393972056732721,0.11935585149115165,0.08350583309971475,0.0595801728771627,0.0962678480867748,0.18654434250764526,
56,57,"\nA table is set with a meal on it.  Included on the table are salads, potatoes, peas, pickles, and olives.",American cuisine,laid_table12,3.75,2,"A table and chairs, set with six places, and laid with a green and red plaid tablecoth. There are red solo cups at each place. The table is also set with typical American Thanksgiving foods, including: turkey, mashed potatoes, cranberry sauce, mixed salad, squash, sweet potatoes, devilled eggs, and pumpkin pie.|A table is set with dishes and silverware for five.  The food is on the table as well and ready to be served when the people arrive.",3.4,107,222.0,312,132,0.3875784493065345,0.2936818455923091,0.21637145264945426,0.14314855653123298,0.14567430813772259,0.35812133072407043,
57,58,"\nA table is set with a meal on it.  Included on the table are salads, potatoes, peas, pickles, and olives.",American cuisine,laid_table12,3.75,2,"A rectangular table with a red plaid table cloth on it and wooden chairs around it.  The table is set with 5 place setting, each with a plate and red solo cup.  Each setting has a bowl of salad in front of it.  There are various food items in the middle of the table in serving dishes.  The food items look like they could be from a Thanksgiving dinner.|A table with a tablecloth with empty place setting and many foods in bowls in the middle.  The table is set with paper napkins, metal utensils, and plastic cups.  The bowls of food are some typical foods of American cuisine.",3.4,107,288.5,353,224,0.2023336926240599,0.1399571417153106,0.0928576551300849,0.06451748560141356,0.0962678480867748,0.19656283566058,
58,59,"\nA table is set with a meal on it.  Included on the table are salads, potatoes, peas, pickles, and olives.",American cuisine,laid_table12,3.75,2,"A rectangular table with a red plaid table cloth on it and wooden chairs around it.  The table is set with 5 place setting, each with a plate and red solo cup.  Each setting has a bowl of salad in front of it.  There are various food items in the middle of the table in serving dishes.  The food items look like they could be from a Thanksgiving dinner.|A table is set with dishes and silverware for five.  The food is on the table as well and ready to be served when the people arrive.",3.4,107,242.5,353,132,0.3875784493065345,0.2936818455923091,0.21637145264945426,0.14314855653123298,0.14567430813772259,0.35812133072407043,
59,60,"\nA table is set with a meal on it.  Included on the table are salads, potatoes, peas, pickles, and olives.",American cuisine,laid_table12,3.75,2,"A table with a tablecloth with empty place setting and many foods in bowls in the middle.  The table is set with paper napkins, metal utensils, and plastic cups.  The bowls of food are some typical foods of American cuisine.|A table is set with dishes and silverware for five.  The food is on the table as well and ready to be served when the people arrive.",3.4,107,178.0,224,132,0.35234404482412235,0.28001465291286726,0.20960536719609024,0.13977799345618297,0.14567430813772259,0.35812133072407043,
60,61,"\nA table is set with a meal on it.  Included on the table are salads, potatoes, peas, pickles, and olives.",American cuisine,laid_table12,3.75,3,"It's a bunch of food from America. It's set up on a table.|A table filled with bowls,plates and glasses. Many different types of food are represented from salads to a pie.|The camera looks down on a table groaning with colorful foods arranged in many serving bowls on a bright red plaid tablecloth.",3.4,107,98.6666666666667,126,58,0.3999999999800001,4.588314677175783e-09,1.0536053366894084e-11,5.121488960836982e-13,0.13445378151260504,0.18429003021148035,
61,62,"\nA table is set with a meal on it.  Included on the table are salads, potatoes, peas, pickles, and olives.",American cuisine,laid_table12,3.75,3,"It's a bunch of food from America. It's set up on a table.|A table filled with bowls,plates and glasses. Many different types of food are represented from salads to a pie.|A table and chairs, set with six places, and laid with a green and red plaid tablecoth. There are red solo cups at each place. The table is also set with typical American Thanksgiving foods, including: turkey, mashed potatoes, cranberry sauce, mixed salad, squash, sweet potatoes, devilled eggs, and pumpkin pie.",3.4,107,160.666666666667,312,58,0.4999999999750001,0.28097574346008974,1.636898375303894e-06,4.007781699810763e-09,0.13445378151260504,0.26406926406926406,
62,63,"\nA table is set with a meal on it.  Included on the table are salads, potatoes, peas, pickles, and olives.",American cuisine,laid_table12,3.75,3,"It's a bunch of food from America. It's set up on a table.|A table filled with bowls,plates and glasses. Many different types of food are represented from salads to a pie.|A rectangular table with a red plaid table cloth on it and wooden chairs around it.  The table is set with 5 place setting, each with a plate and red solo cup.  Each setting has a bowl of salad in front of it.  There are various food items in the middle of the table in serving dishes.  The food items look like they could be from a Thanksgiving dinner.",3.4,107,174.333333333333,353,58,0.5499999999725,0.38044295510681836,0.2524132765860473,0.17537670873695943,0.13445378151260504,0.2846034214618974,
